main/loss,main/nll,lr,epoch,iteration,elapsed_time,validation/main/loss,validation/main/nll
2239.2435470581054,2239.2435470581054,0.0009999100035999167,0,10,13.823144830000047,,
524.4704742431641,524.4704742431641,0.000999810017099032,0,20,22.608006526000054,,
222.86163482666015,222.86163482666015,0.0009997100405963481,0,30,34.22113338999998,,
215.84303131103516,215.84303131103516,0.000999610074090864,0,40,42.933141148000004,,
231.65472869873048,231.65472869873048,0.0009995101175815809,0,50,54.12970158899998,,
169.53148727416993,169.53148727416993,0.0009994101710674988,0,60,63.20535728499999,,
127.91021919250488,127.91021919250488,0.0009993102345476183,0,70,74.82264144300007,,
70.45421676635742,70.45421676635742,0.00099921030802094,0,80,83.28695158400001,,
37.911129999160764,37.911129999160764,0.0009991103914864653,1,90,103.31374485499998,210.2410545349121,210.2410545349121
266.8379945755005,266.8379945755005,0.000999010484943194,1,100,112.42957219200002,,
120.26613731384278,120.26613731384278,0.0009989105883901274,1,110,124.85280647000002,,
111.83388042449951,111.83388042449951,0.0009988107018262667,1,120,134.29719660199999,,
94.48535537719727,94.48535537719727,0.000998710825250613,1,130,145.86939288400004,,
106.24808235168457,106.24808235168457,0.000998610958662167,1,140,154.208449246,,
119.21401176452636,119.21401176452636,0.0009985111020599307,1,150,165.80082332000006,,
206.24902095794678,206.24902095794678,0.0009984112554429052,1,160,175.72063283400007,,
